country,pop,lifeExp,gdpPercap,total,per_capita
Argentina,40301927,75.32,12779.37964,149476.04,3.819
Bolivia,9119152,65.554,3822.137084,8975.809,0.984
Brazil,190010647,72.39,9065.800825,311623.799,1.667
Canada,33390141,80.653,36319.23501,540431.495,16.762
Chile,16284741,78.553,13171.63885,54434.634,3.343
Colombia,44227550,72.889,7006.580419,53585.3,1.238
Costa Rica,4133884,78.782,9645.06142,5463.059,1.286
Cuba,11416987,78.273,8948.102923,25051.431,2.22
Dominican Republic,9319622,72.235,6025.374752,17522.139,1.897
Ecuador,13755680,74.994,6873.262326,23926.725,1.742
El Salvador,6939688,71.878,5728.353514,6252.815,1.037
Guatemala,12572928,70.259,5186.050003,10621.597,0.811
Haiti,8502814,60.916,1201.637154,1980.992,0.214
Honduras,7483763,70.198,3548.330846,7192.737,0.976
Jamaica,2780132,72.567,7320.880262,10281.648,3.746
Mexico,108700891,76.195,11977.57496,412385.135,3.854
Nicaragua,5675356,72.899,2749.320965,4032.083,0.75
Panama,3242173,75.537,9809.185636,6776.118,2.035
Paraguay,6667147,71.752,4172.838464,3472.665,0.599
Peru,28674757,71.421,7408.905561,28632.888,1.037
Trinidad and Tobago,1056608,69.819,18008.50924,17175.823,13.243
United States,301139947,78.242,42951.65309,5703220.175,19.268
Uruguay,3447496,76.384,10611.46299,5151.871,1.549
Venezuela,26084662,73.747,11415.80569,137701.548,5.141
